s0	: L(r1,r2)
s63	: J(K!1,Y1~P,Y2~P).L(r1,r2!2).R(X!1,i~off,l!2)
s64	: J(K,Y1~P!1,Y2~U).S(DD,PH,SH2!1)
s65	: J(K,Y1~P!1,Y2~U).S(DD!2,PH,SH2!1).S(DD!2,PH,SH2)
s66	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).J(K,Y1~P!4,Y2~U).L(r1!5,r2!6).R(X!1,i~off,l!6).R(X!3,i~off,l!5).S(DD!7,PH,SH2!2).S(DD!7,PH,SH2!4)
s67	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).J(K,Y1~P!4,Y2~U).L(r1!5,r2!6).R(X!3,i~off,l!6).R(X!1,i~off,l!5).S(DD!7,PH,SH2!2).S(DD!7,PH,SH2!4)
s68	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X,i~off,l!3).S(DD,PH,SH2!2)
s69	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!3).R(X,i~off,l!4).S(DD,PH,SH2!2)
s70	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~P,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD,PH,SH2!2)
s71	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~P,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD,PH,SH2!2)
s72	: J(K!1,Y1~P!2,Y2~P).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD,PH,SH2!2)
s73	: J(K!1,Y1~P!2,Y2~P).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD,PH,SH2!2)
s74	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~P).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD,PH,SH2!2)
s75	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~P).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD,PH,SH2!2)
s76	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X,i~off,l!3).S(DD!5,PH,SH2!2).S(DD!5,PH,SH2)
s77	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!3).R(X,i~off,l!4).S(DD!5,PH,SH2!2).S(DD!5,PH,SH2)
s78	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~P,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s79	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~P,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s80	: J(K!1,Y1~P!2,Y2~P).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s81	: J(K!1,Y1~P!2,Y2~P).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
